Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
27-Oct-2025,25-Nov-2025,XX,"-","26,021.10","26,207.40","26,020.20","26,168.40","26,189.00","26,168.40",7003050,"1,83,14,13,46,500.00","1,83,14,13,46,500.00",10076025,4441875
27-Oct-2025,28-Oct-2025,XX,"-","25,901.00","26,065.40","25,878.00","26,013.50","26,036.70","26,013.50",7653000,"1,99,02,07,30,860.00","1,99,02,07,30,860.00",8375850,-4468800
27-Oct-2025,30-Dec-2025,XX,"-","26,150.00","26,373.90","26,150.00","26,347.30","26,360.00","26,347.30",375150,"9,87,39,77,167.50","9,87,39,77,167.50",815850,78300
24-Oct-2025,30-Dec-2025,XX,"-","26,279.80","26,297.70","26,054.60","26,130.20","26,131.10","26,130.20",315525,"8,25,56,30,085.00","8,25,56,30,085.00",737550,84000
24-Oct-2025,25-Nov-2025,XX,"-","26,110.00","26,145.00","25,875.00","25,952.00","25,952.00","25,952.00",3444675,"89,52,38,69,880.00","89,52,38,69,880.00",5634150,1789800
24-Oct-2025,28-Oct-2025,XX,"-","25,980.20","25,999.00","25,733.00","25,814.80","25,814.30","25,814.80",6874500,"1,77,72,82,49,542.50","1,77,72,82,49,542.50",12844650,-2874600
23-Oct-2025,28-Oct-2025,XX,"-","26,161.10","26,205.00","25,940.00","25,976.90","25,950.00","25,976.90",8378175,"2,18,63,86,57,380.00","2,18,63,86,57,380.00",15719250,-1716450
23-Oct-2025,25-Nov-2025,XX,"-","26,201.00","26,310.00","26,076.80","26,109.70","26,091.80","26,109.70",2865525,"75,15,56,72,130.00","75,15,56,72,130.00",3844350,1076325
23-Oct-2025,30-Dec-2025,XX,"-","26,300.00","26,466.60","26,252.00","26,279.80","26,263.00","26,279.80",411000,"10,84,40,34,810.00","10,84,40,34,810.00",653550,120375
21-Oct-2025,25-Nov-2025,XX,"-","26,090.90","26,099.00","26,000.00","26,039.10","26,001.60","26,039.10",230775,"6,01,20,42,975.00","6,01,20,42,975.00",2768025,39375
21-Oct-2025,28-Oct-2025,XX,"-","25,960.00","25,975.00","25,865.10","25,906.30","25,865.10","25,906.30",1228350,"31,84,59,79,920.00","31,84,59,79,920.00",17435700,82275
21-Oct-2025,30-Dec-2025,XX,"-","26,223.20","26,252.10","26,160.00","26,194.80","26,160.00","26,194.80",60675,"1,59,03,09,547.50","1,59,03,09,547.50",533175,8100
